date,product,sold_units,current_stock
2025-10-07,Headphones,23,0
2025-10-08,Laptop,26,0
2025-10-08,Mouse,14,0
2025-10-08,Keyboard,0,0
2025-10-08,Monitor,3,0
2025-10-08,Headphones,1,0
2025-10-09,Laptop,27,0
2025-10-09,Mouse,1,0
2025-10-09,Keyboard,3,0
2025-10-09,Monitor,13,0
2025-10-09,Headphones,6,0
2025-10-10,Laptop,3,0
2025-10-10,Mouse,15,0
2025-10-10,Keyboard,21,0
2025-10-10,Monitor,14,0
2025-10-10,Headphones,18,0
2025-10-11,Laptop,6,0
2025-10-11,Mouse,17,0
2025-10-11,Keyboard,15,0
2025-10-11,Monitor,26,0
2025-10-11,Headphones,20,0
2025-10-12,Laptop,19,0
2025-10-12,Mouse,19,0
2025-10-12,Keyboard,5,0
2025-10-12,Monitor,18,0
2025-10-12,Headphones,8,0
2025-10-13,Laptop,5,0
2025-10-13,Mouse,9,0
2025-10-13,Keyboard,17,0
2025-10-13,Monitor,13,0
2025-10-13,Headphones,5,0
2025-10-14,Laptop,4,0
2025-10-14,Mouse,2,0
2025-10-14,Keyboard,6,0
2025-10-14,Monitor,8,0
2025-10-14,Headphones,17,0
2025-10-15,Laptop,14,0
2025-10-15,Mouse,11,0
2025-10-15,Keyboard,8,0
2025-10-15,Monitor,2,0
2025-10-15,Headphones,3,0
2025-10-16,Laptop,8,0
2025-10-16,Mouse,22,0
2025-10-16,Keyboard,22,0
2025-10-16,Monitor,16,0
2025-10-16,Headphones,26,0
2025-10-17,Laptop,15,0
2025-10-17,Mouse,13,0
2025-10-17,Keyboard,18,0
2025-10-17,Monitor,27,0
2025-10-17,Headphones,26,0
2025-10-18,Laptop,23,0
2025-10-18,Mouse,24,0
2025-10-18,Keyboard,29,0
2025-10-18,Monitor,6,0
2025-10-18,Headphones,12,0
2025-10-19,Laptop,15,0
2025-10-19,Mouse,3,0
2025-10-19,Keyboard,14,0
2025-10-19,Monitor,17,0
2025-10-19,Headphones,26,0
2025-10-20,Laptop,5,0
2025-10-20,Mouse,23,0
2025-10-20,Keyboard,25,0
2025-10-20,Monitor,24,0
2025-10-20,Headphones,0,0
2025-10-21,Laptop,27,0
2025-10-21,Mouse,10,0
2025-10-21,Keyboard,1,0
2025-10-21,Monitor,27,0
2025-10-21,Headphones,16,0
2025-10-22,Laptop,25,0
2025-10-22,Mouse,20,0
2025-10-22,Keyboard,23,0
2025-10-22,Monitor,1,0
2025-10-22,Headphones,23,0
2025-10-23,Laptop,0,0
2025-10-23,Mouse,21,0
2025-10-23,Keyboard,4,0
2025-10-23,Monitor,20,0
2025-10-23,Headphones,18,0
2025-10-24,Laptop,1,0
2025-10-24,Mouse,12,0
2025-10-24,Keyboard,23,0
2025-10-24,Monitor,24,0
2025-10-24,Headphones,16,0
2025-10-25,Laptop,11,0
2025-10-25,Mouse,27,0
2025-10-25,Keyboard,27,0
2025-10-25,Monitor,27,0
2025-10-25,Headphones,20,0
2025-10-26,Laptop,3,0
2025-10-26,Mouse,22,0
2025-10-26,Keyboard,29,0
2025-10-26,Monitor,7,0
2025-10-26,Headphones,2,0
2025-10-27,Laptop,7,0
2025-10-27,Mouse,21,0
2025-10-27,Keyboard,21,0
2025-10-27,Monitor,14,0
2025-10-27,Headphones,9,0
2025-10-28,Laptop,2,0
2025-10-28,Mouse,5,0
2025-10-28,Keyboard,25,0
2025-10-28,Monitor,18,0
2025-10-28,Headphones,27,0
2025-10-29,Laptop,15,0
2025-10-29,Mouse,11,0
2025-10-29,Keyboard,27,0
2025-10-29,Monitor,29,0
2025-10-29,Headphones,17,0
2025-10-30,Laptop,8,0
2025-10-30,Mouse,11,0
2025-10-30,Keyboard,4,0
2025-10-30,Monitor,14,0
2025-10-30,Headphones,12,0
2025-10-31,Laptop,28,0
2025-10-31,Mouse,4,0
2025-10-31,Keyboard,4,0
2025-10-31,Monitor,22,0
2025-10-31,Headphones,0,0
2025-11-01,Laptop,21,0
2025-11-01,Mouse,27,0
2025-11-01,Keyboard,9,0
2025-11-01,Monitor,26,0
2025-11-01,Headphones,3,0
2025-11-02,Laptop,24,0
2025-11-02,Mouse,10,0
2025-11-02,Keyboard,14,0
2025-11-02,Monitor,11,0
2025-11-02,Headphones,13,0
2025-11-03,Laptop,12,0
2025-11-03,Mouse,19,0
2025-11-03,Keyboard,24,0
2025-11-03,Monitor,24,0
2025-11-03,Headphones,7,0
